,,,,,,,,,,,,,,,,,,,,,,,,,,Station Honor\u00e9-Beaugrand
,,,,,Montmorency,De la Concorde Station,Station Cartier,,,,,,,,,,,,,,,,,,Radisson,
,,,,,,,,M\u00e9tro Henri-Bourrassa Sortie boul. Henri-Bourassa Sud,,,,,,,,,,,,,,,,Langelier,,
,,,,,,,,,Sauv\u00e9,,,,,,St-Michel,,,,,,,,Cadillac,,,
,,,,,,,,,,Cr\u00e9mazie,,,,D'Iberville,,,,,,,,,Station Assomption,,,
,,,,,,,,,,,Jarry,,Fabre,,,,,,,,,,Viau,,,
,,,,,,,,,,,,Jean Talon Station - Exit Jean Talon South,,,,,,,,,,Pie-IX,,,,
,,,,,,,,,,,De Castelnau,,Beaubien,,,,,,,,Joliette,,,,,
C\u00f4te-Vertu,,,,,,,,,,Parc,,,,Rosemont,,,,,,Pr\u00e9fontaine,,,,,,
,Du Coll\u00e8ge,,,,,,,,Acadie,,,,,,Laurier,,,,,Frontenac,,,,,,
,,Savane,,,,,,,,Outremont,,,,,,Mont-Royal,,,,Papineau,,,,,,
,,,Namur,,,,,,\u00c9douard-Montpetit,,,,,,,,Sherbrooke,,Beaudry,,,,,,,
,,,,Plamondon,,,,University Montreal,,,,,,,,Saint-Laurent,,Berri-UQAM,,,Terminus de Longueuil,,,,,
,,,,,Cote-Ste-Catherine,,C\u00f4te-des-Neiges,,,,,,,,Place - Des - Arts,,Champ-de-Mars,,,Jean-Drapeau,,,,,,
,,,,,,Snowdon,,,,,,,,McGill,,Place-d'Armes,,,,,,,,,,
,,,,,,,Villa-Maria,,,,,,Peel,,Square-Victoria\u2013OACI,,,,,,,,,,,
,,,,,,,,Vend\u00f4me,,,,Guy-Concordia,,Bonaventure,,,,,,,,,,,,
,,,,,,,,,Place Saint-Henri,,Atwater,,Lucien L'Allier,,,,,,,,,,,,,
,,,,,,,,,,Lionel Groulx,,Georges-Vanier,,,,,,,    ,,,,,,,
,,,,,,,,,,,Charlevoix,,,,,,,,,,,,,,,
,,,,,,,,,,,Lasalle,,,,,,,,,,,,,,,
,,,,,,,,Jolicoeur,,De l'\u00c9glise,,,,,,,,,,,,,,,,
,,,,,,,Monk,,Verdun,,,,,,,,,,,,,,,,,
,,,,,,Terminus Angrignon,,,,,,,,,,,,,,,,,,,,
